2018-01-26 15:51:04 TRACE root:11 - trace message
2018-01-26 15:51:04 DEBUG root:12 - debug message
2018-01-26 15:51:04 INFO  root:13 - info message
2018-01-26 15:51:04 WARN  root:14 - warn message
2018-01-26 15:51:04 ERROR root:15 - error message
2018-01-26 15:51:04 FATAL root:16 - fatal message
2018-01-26 15:53:35 WARN  root:14 - warn message
2018-01-26 15:53:35 ERROR root:15 - error message
2018-01-26 15:53:35 FATAL root:16 - fatal message
2018-01-26 15:57:09 WARN  root:14 - warn message
2018-01-26 15:57:09 ERROR root:15 - error message
2018-01-26 15:57:09 FATAL root:16 - fatal message
2018-01-26 15:57:48 WARN  root:14 - warn message
2018-01-26 15:57:48 ERROR root:15 - error message
2018-01-26 15:57:48 FATAL root:16 - fatal message
2018-01-26 16:27:36 WARN  root:14 - warn message
2018-01-26 16:27:36 ERROR root:15 - error message
2018-01-26 16:27:36 FATAL root:16 - fatal message
